algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_ROC_AUC,RANGE_PR_VOLUME
COF,CalIt2,CalIt2-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,5.984950065612793,,Status.OK,,1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,0.8385234443725874,0.8485374754898614,0.36330863781166906
COF,Metro,metro-traffic-volume,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/last_mlts_proj/results/2024_01_09_22_48_19/COF/507aaea1141c95e8718e71d965e42aa9/Metro/metro-traffic-volume/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,Dodgers,101-freeway-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/last_mlts_proj/results/2024_01_09_22_48_19/COF/507aaea1141c95e8718e71d965e42aa9/Dodgers/101-freeway-traffic/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
k-Means,CalIt2,CalIt2-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,20.850855112075806,,Status.OK,,1,"{""anomaly_window_size"": 19, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,0.9221322669922997,0.9214413965021229,0.5572664276297001
k-Means,Metro,metro-traffic-volume,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,,,Status.TIMEOUT,DockerTimeoutError('ghcr.io/timeeval/kmeans could not create results after <Duration 1 minute>'),1,"{""anomaly_window_size"": 3, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,,,
k-Means,Dodgers,101-freeway-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,,,Status.TIMEOUT,DockerTimeoutError('ghcr.io/timeeval/kmeans could not create results after <Duration 1 minute>'),1,"{""anomaly_window_size"": 379, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,,,
KNN,CalIt2,CalIt2-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,2.661470890045166,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.8834087832545361,0.8570446628963867,0.42935436619456685
KNN,Metro,metro-traffic-volume,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,3.878793954849243,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.4558608353596849,0.8090984037131641,0.06056667691927152
KNN,Dodgers,101-freeway-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.8520190715789795,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.49952585884774275,0.5575274370887979,0.4171655430443483
LOF,CalIt2,CalIt2-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,2.359661817550659,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.7267092721057559,0.8021929293795089,0.340556193225692
LOF,Metro,metro-traffic-volume,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,4.27711296081543,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.5519434417205845,0.8182992794347752,0.06791862684643282
LOF,Dodgers,101-freeway-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,3.2659530639648438,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.49988701622806375,0.5527256820969506,0.35095980379241115
